record_id,foundry,process_family,process_node_raw,process_node,process_node_normalized,variant_node,structure,release_timing_raw,library_class_raw,library_bucket,library_option_raw,cpp_cgp_nm,cell_height_nm,track_count,fin_or_nanosheet_configuration,diffusion_break_model,break_extra_cpp,logic_density_reported_mtr_mm2,density_basis_raw,density_basis_normalized,density_caveat,sram_bitcell_um2,sram_reported_mb_mm2,sram_type_raw,macro_overhead_assumption,m0_pitch_nm,m1_pitch_nm,m2_pitch_nm,m3_pitch_nm,mx_min_pitch_nm,metal_track_pitch_nm,metal_layers_raw,metal_stack_options_raw,euv_layer_count_raw,beol_source_id,beol_confidence,beol_confidence_bucket,power_performance_claim_raw,packaging_compatibility_raw,geometry_confidence,geometry_confidence_bucket,logic_density_confidence,logic_density_confidence_bucket,sram_confidence,sram_confidence_bucket,yield_confidence,yield_confidence_bucket,overall_confidence,overall_confidence_bucket,confidence_raw,source_id,geometry_source_id,sram_source_id,density_source_id,all_source_ids,geometry_source_level_raw,sram_source_level_raw,density_source_level_raw,beol_notes,notes,created_at,updated_at,sram_density_compare_mb_mm2,sram_density_compare_basis,sram_density_compare_source_id,sram_density_compare_confidence,v0_4_1_update_note,v0_4_2_update_note
tsmc_n6_n6_hd_n7_compatible_smaller_standard_cell_library_cpode_style_007,TSMC,N7 family,N6,N6,N6,N6 HD,FinFET,,HD / EUV compatible,HD,N7-compatible smaller standard-cell library / CPODE-style,57,240,,,SDB/CPODE approximation,0,107,million transistors per mm²,MTr/mm2,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",,,,,,,40,,40,,public compilation around 17 metal layers for N7,,,src_teamvlsi_tsmc_nodes_2021,3,medium,,,2,low,2,low,0,missing,0,missing,2,low,Medium-Low,src_tsmc_official_n7_n6,src_tsmc_official_n7_n6,,src_tsmc_official_n7_n6,src_tsmc_official_n7_n6;src_teamvlsi_tsmc_nodes_2021,Official + derived public formula,Not found,Official relative + derived,N6 BEOL compatible/evolved from N7; exact N6 metal options not public.,,2026-05-21,2026-05-21,,,,,,
tsmc_n7_n7_hd_6t_2_fin_h240g57_003,TSMC,N7 family,N7,N7,N7,N7 HD,FinFET,N7 family risk/volume production 2018 era; N6 announced 2019 with N7 compatibility,HD,HD,6T / 2-fin / H240g57,57,240,6,2-fin,DDB,1,91.2,million transistors per mm²,MTr/mm2,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.027,,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,,,40,,40,,public compilation around 17 metal layers for N7,,,src_teamvlsi_tsmc_nodes_2021,3,medium,,,4,high,4,high,4,high,0,missing,4,high,Medium-High,src_teamvlsi_tsmc_nodes_2021,src_teamvlsi_tsmc_nodes_2021,src_teamvlsi_tsmc_nodes_2021,src_teamvlsi_tsmc_nodes_2021,src_teamvlsi_tsmc_nodes_2021,Public media + reverse-engineering formula,Public media/aggregator,Public media/aggregator + formula,N6 BEOL compatible/evolved from N7; exact N6 metal options not public.,,2026-05-21,2026-05-21,,,,,,
tsmc_n7_n7_hp_3_fin_h300g64_004,TSMC,N7 family,N7,N7,N7,N7 HP,FinFET,N7 family risk/volume production 2018 era; N6 announced 2019 with N7 compatibility,HP,HP,3-fin / H300g64,64,300,,3-fin,DDB,1,,,,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.027,,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,,,40,,40,,public compilation around 17 metal layers for N7,,,src_teamvlsi_tsmc_nodes_2021,3,medium,,,3,medium,3,medium,3,medium,0,missing,3,medium,Medium,src_angstronomics_tsmc_5nm_2022,src_angstronomics_tsmc_5nm_2022,src_teamvlsi_tsmc_nodes_2021,src_angstronomics_tsmc_5nm_2022,src_angstronomics_tsmc_5nm_2022;src_teamvlsi_tsmc_nodes_2021,Media reverse-engineering/analysis,Borrowed node-level public SRAM,Formula from public analysis,N6 BEOL compatible/evolved from N7; exact N6 metal options not public.,,2026-05-21,2026-05-21,,,,,,
tsmc_n7_n7_euv_hd_like_public_relative_only_006,TSMC,N7 family,N7+,N7+,N7+,N7+ EUV,FinFET,N7 family risk/volume production 2018 era; N6 announced 2019 with N7 compatibility,HD / EUV nodelet,HD,HD-like; public relative only,,,,,,0,,,,No reliable public CPP+CH or reported logic density available.,,,,,,,40,,40,,public compilation around 17 metal layers for N7,,,src_teamvlsi_tsmc_nodes_2021,3,medium,,,0,missing,0,missing,0,missing,0,missing,1,very_low,Low,src_tsmc_official_n7_n6,src_tsmc_official_n7_n6,,src_tsmc_official_n7_n6,src_tsmc_official_n7_n6;src_teamvlsi_tsmc_nodes_2021,Official relative only,Not found,Official relative only,N6 BEOL compatible/evolved from N7; exact N6 metal options not public.,,2026-05-21,2026-05-21,,,,,,
tsmc_n7p_n7p_hd_assumed_n7_compatible_hd_geometry_005,TSMC,N7 family,N7P,N7P,N7P,N7P HD,FinFET,N7 family risk/volume production 2018 era; N6 announced 2019 with N7 compatibility,HD / process optimization,HD,assumed N7-compatible HD geometry,57,240,,,DDB,1,,,,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.027,,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,,,40,,40,,public compilation around 17 metal layers for N7,,,src_teamvlsi_tsmc_nodes_2021,3,medium,,,2,low,2,low,2,low,0,missing,2,low,Medium-Low,src_tsmc_official_n7_n6,src_tsmc_official_n7_n6,src_teamvlsi_tsmc_nodes_2021,src_angstronomics_tsmc_5nm_2022,src_tsmc_official_n7_n6;src_angstronomics_tsmc_5nm_2022;src_teamvlsi_tsmc_nodes_2021,Derived / assumed from N7 HD,Borrowed N7-family public SRAM,Formula / derived,N6 BEOL compatible/evolved from N7; exact N6 metal options not public.,,2026-05-21,2026-05-21,,,,,,
intel_foundry_intel_10nm_intel_10nm_hd_h272g54_class_026,Intel Foundry,Intel 10 / Intel 7 family,Intel 10nm,Intel 10nm,Intel 10nm,Intel 10nm HD,FinFET,,HD,HD,H272g54 class,54,272,,,SDB/SAQP approximation,0,100.8,million transistors per mm²,MTr/mm2,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.0312,,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,,,,,36,,,,,src_semiwiki_intel_14_10_2016,3,medium,,,3,medium,3,medium,3,medium,0,missing,3,medium,Medium,src_semiwiki_intel4_vlsi2022,src_semiwiki_intel4_vlsi2022,src_semiwiki_intel4_vlsi2022,src_semiwiki_intel4_vlsi2022,src_semiwiki_intel4_vlsi2022;src_semiwiki_intel_14_10_2016,Media/conference summaries,Media/conference summaries,Formula/media summaries,,Intel 10nm 公开为高密度基准；后续 Intel 7/ESF 多用于高性能库。,2026-05-21,2026-05-21,,,,,,
intel_foundry_intel_7_intel_7_hp_observed_h408g60_027,Intel Foundry,Intel 10 / Intel 7 family,Intel 7,Intel 7,Intel 7,Intel 7 HP observed,FinFET,,HP,HP,H408g60,60,408,,,SDB approximation,0,65,million transistors per mm²,MTr/mm2,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",,,,,,,,,36,,,,,src_semiwiki_intel_14_10_2016,3,medium,,,3,medium,3,medium,0,missing,0,missing,3,medium,Medium,src_semiwiki_intel4_vlsi2022,src_semiwiki_intel4_vlsi2022,,src_semiwiki_intel4_vlsi2022,src_semiwiki_intel4_vlsi2022;src_tomshardware_intel_18a_vlsi2025;src_semiwiki_intel_14_10_2016,TechInsights/media via SemiWiki,Not isolated,Media analysis,,SemiWiki 说明产品逻辑中观察到 60nm CPP 与 408nm cell height；密度约 65 MTr/mm²。,2026-05-21,2026-05-21,,,,,,
intel_foundry_intel_7_intel_7_dense_library_available_h272g54_dense_cell_not_necessarily_u_028,Intel Foundry,Intel 10 / Intel 7 family,Intel 7,Intel 7,Intel 7,Intel 7 dense library available,FinFET,,HD candidate,HD,H272g54 dense cell; not necessarily used in products,54,272,,,SDB approximation,0,100,million transistors per mm²,MTr/mm2,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",,,,,,,,,36,,,,,src_semiwiki_intel_14_10_2016,3,medium,,,2,low,2,low,0,missing,0,missing,2,low,Low-Medium,src_semiwiki_intel4_vlsi2022,src_semiwiki_intel4_vlsi2022,,src_semiwiki_intel4_vlsi2022,src_semiwiki_intel4_vlsi2022;src_semiwiki_intel_14_10_2016,Media analysis,,Formula/media analysis,,SemiWiki 提到 Intel 7 可用 54nm CPP/272nm 高度单元但在所观察产品中未使用；作为库对比保留。,2026-05-21,2026-05-21,,,,,,
intel_foundry_intel_14nm_14nm_14nm_7_67t_dense_logic_025,Intel Foundry,Intel 14 family,Intel 14nm,Intel 14nm,Intel 14nm,14nm / 14nm+,Tri-Gate FinFET,,HD/standard,HD,7.67T dense logic,70,399,7.67,,DDB approximation,1,37.5,million transistors per mm²,MTr/mm2,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.0588,,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,,,,,52,,,,,src_semiwiki_intel_14_10_2016,2,low,,,2,low,2,low,2,low,0,missing,2,low,Medium-Low,src_semiwiki_intel_14_10_2016,src_semiwiki_intel_14_10_2016,src_semiwiki_intel_14_10_2016,src_semiwiki_intel_14_10_2016,src_semiwiki_intel_14_10_2016,Media/conference summaries,Media/conference summaries,Media/conference summaries,,14nm 公开数据版本较多；此行用于代际对比，非 foundry PDK。,2026-05-21,2026-05-21,,,,,,
intel_foundry_intel_14a_14a_14a_e_next_gen_ribbonfet_powervia_geometry_not_public_035,Intel Foundry,Intel 14A family,Intel 14A,Intel 14A,Intel 14A,14A / 14A-E,RibbonFET GAA + PowerVia,,TBD,generic/unspecified,next-gen RibbonFET/PowerVia; geometry not public,,,,RibbonFET,,0,,,,No reliable public CPP+CH or reported logic density available.,,,,,32,,,,30,,,PowerVia backside power; RibbonFET FEOL,,src_tomshardware_intel_18a_vlsi2025,2,low,,,0,missing,0,missing,0,missing,0,missing,1,very_low,Low,src_intel_official_foundry_process,src_intel_official_foundry_process,,,src_intel_official_foundry_process;src_tomshardware_intel_18a_vlsi2025,Official roadmap only,,Not computed,"PowerVia official; M0/min pitch from public media/social summaries, not Intel free PDK.",路线图公开，但库级参数暂不公开。,2026-05-21,2026-05-21,,,,,,
intel_foundry_intel_18a_18a_hd_160ch_hd_library_033,Intel Foundry,Intel 18A family,Intel 18A,Intel 18A,Intel 18A,18A HD,RibbonFET GAA + PowerVia,Intel reports 18A HVM ramp targeted/started H2 2025 depending SKU; public VLSI 2025 details,HD,HD,160CH / HD library,50,160,,,SDB/PowerVia approximation,0,184.21,"Bohr-style HD standard-cell density from H160G50; media/social comparison, not TechInsights 238 MTr/mm2 claim",bohr_standard_cell_density,Corrected in v0.4.2: 238 MTr/mm2 is treated as a conflicting TechInsights/media HD-density claim with unclear geometry basis and is excluded from CGP/CH comparable density.,0.021,34.3,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,32,,,,30,,,PowerVia backside power; RibbonFET FEOL,,src_tomshardware_intel_18a_vlsi2025,2,low,,Foveros/EMIB supported in official Intel foundry context,3,medium,2,low-media-derived,4,high,0,missing,3,medium,Medium,src_intel_official_foundry_process,src_tomshardware_intel_18a_vlsi2025,src_researchgate_intel_18a_sram_2026,src_trendforce_rapidus_2hp_density_2025,src_intel_official_foundry_process;src_tomshardware_intel_18a_vlsi2025;src_trendforce_rapidus_2hp_density_2025;src_wccftech_rapidus_2hp_density_2025;src_researchgate_intel_18a_sram_2026;src_tomshardware_2nm_compare_techinsights_2025,Media/VLSI report + Intel official qualitative,paper-metadata,media/aggregator citing leak; conflicts with TechInsights 238 claim,"PowerVia official; M0/min pitch from public media/social summaries, not Intel free PDK.","v0.4.2 corrected CGP/CH-comparable density to H160G50 Bohr-style 184.21 MTr/mm2. Keep 238 MTr/mm2 only as a conflicting/non-HxG-comparable TechInsights/media claim in notes; not used in compact compare. 18A HD compare density uses high-volume macro 34.3Mb/mm2, not the 1/0.021um2 ideal and not the best-case large-array 38.1Mb/mm2.",2026-05-21,2026-05-29,34.3,high-volume macro implementation density; array maximum 38.1Mb/mm2 noted separately,src_researchgate_intel_18a_sram_2026,4,Changed compact SRAM comparison from ideal/array-equivalent to macro implementation density.,corrected Intel 18A HD density from 238 to 184.21 for H160G50 CGP/CH comparable comparison; 238 retained only as conflict note.
intel_foundry_intel_18a_18a_hp_180ch_hp_library_032,Intel Foundry,Intel 18A family,Intel 18A,Intel 18A,Intel 18A,18A HP,RibbonFET GAA + PowerVia,Intel reports 18A HVM ramp targeted/started H2 2025 depending SKU; public VLSI 2025 details,HP,HP,180CH / HP library,50,180,,,SDB/PowerVia approximation,0,,,,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.023,,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,32,,,,30,,,PowerVia backside power; RibbonFET FEOL,,src_tomshardware_intel_18a_vlsi2025,2,low,,Foveros/EMIB supported in official Intel foundry context,3,medium,3,medium,3,medium,0,missing,3,medium,Medium,src_intel_official_foundry_process,src_tomshardware_intel_18a_vlsi2025,src_wccftech_21848d98,src_tomshardware_intel_18a_vlsi2025,src_intel_official_foundry_process;src_tomshardware_intel_18a_vlsi2025;src_wccftech_21848d98,Media/VLSI report + Intel official qualitative,Media/VLSI report,Formula approximation; GAA/PowerVia caveat,"PowerVia official; M0/min pitch from public media/social summaries, not Intel free PDK.",Bohr-style formula仍按 CPP×H 粗算；PowerVia 带来额外标准单元利用率收益，不完全体现在 H×CPP。,2026-05-21,2026-05-29,,"HCC bitcell area public, but no comparable macro/array bit density found for HP row",,0,Left HP SRAM compare blank because published macro density is for HD/HDC implementation.,
intel_foundry_intel_18a_p_18a_p_performance_extension_geometry_not_public_034,Intel Foundry,Intel 18A family,Intel 18A-P,Intel 18A-P,Intel 18A-P,18A-P,RibbonFET GAA + PowerVia,Intel reports 18A HVM ramp targeted/started H2 2025 depending SKU; public VLSI 2025 details,HP extension,HP,performance extension; geometry not public,,,,,,0,,,,No reliable public CPP+CH or reported logic density available.,,,,,32,,,,30,,,PowerVia backside power; RibbonFET FEOL,,src_tomshardware_intel_18a_vlsi2025,2,low,,Foveros/EMIB supported in official Intel foundry context,0,missing,0,missing,0,missing,0,missing,1,very_low,Low,src_intel_official_foundry_process,src_intel_official_foundry_process,,,src_intel_official_foundry_process;src_tomshardware_intel_18a_vlsi2025,Official qualitative only,,Not computed,"PowerVia official; M0/min pitch from public media/social summaries, not Intel free PDK.",18A-P 是 18A extension；未找到可靠公开 H×CPP/SRAM。,2026-05-21,2026-05-21,,,,,,
intel_foundry_intel_3_intel_3_hd_h210g50_031,Intel Foundry,Intel 3 family,Intel 3,Intel 3,Intel 3,Intel 3 HD,FinFET,,HD,HD,H210g50,50,210,,,SDB,0,,,,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.024,27.825,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,30,,,,30,,,,,src_semiwiki_intel4_vlsi2022,4,high,,,3,medium,3,medium,1,very_low,0,missing,3,medium,Medium,src_tomshardware_intel_18a_vlsi2025,src_tomshardware_intel_18a_vlsi2025,src_tomshardware_tsmc_n2_intel18a_sram_2024,src_tomshardware_intel_18a_vlsi2025,src_tomshardware_intel_18a_vlsi2025;src_tomshardware_tsmc_n2_intel18a_sram_2024;src_semiwiki_intel4_vlsi2022,Media table,Media/conference reports,Formula / derived,Intel 4 public VLSI analysis gives 30nm minimum metal pitch/M0 class.,HD 高度来自 VLSI 2025/Tom's 表；公开度高于很多 foundry PDK 细项。,2026-05-21,2026-05-29,27.825,proxy from Intel 4 compiled SRAM density; no direct Intel 3 macro density found,src_tomshardware_tsmc_n2_intel18a_sram_2024,1,"Explicitly marked Intel 3 SRAM density as low-confidence proxy, not direct reported macro data.",
intel_foundry_intel_3_intel_3_hp_h240g50_030,Intel Foundry,Intel 3 family,Intel 3,Intel 3,Intel 3,Intel 3 HP,FinFET,,HP,HP,H240g50,50,240,,,SDB,0,,,,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.024,27.825,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,30,,,,30,,,,,src_semiwiki_intel4_vlsi2022,4,high,,,3,medium,3,medium,1,very_low,0,missing,3,medium,Medium,src_intel_official_foundry_process,src_tomshardware_intel_18a_vlsi2025,src_tomshardware_tsmc_n2_intel18a_sram_2024,src_tomshardware_intel_18a_vlsi2025,src_intel_official_foundry_process;src_tomshardware_intel_18a_vlsi2025;src_tomshardware_tsmc_n2_intel18a_sram_2024;src_semiwiki_intel4_vlsi2022,Media table + Intel official qualitative,Media/conference reports,Formula / derived,Intel 4 public VLSI analysis gives 30nm minimum metal pitch/M0 class.,Intel 官方称 Intel 3 是 Intel 4 演进，1.08× chip density；HP H×CPP 与 Intel 4 接近。,2026-05-21,2026-05-29,27.825,proxy from Intel 4 compiled SRAM density; no direct Intel 3 macro density found,src_tomshardware_tsmc_n2_intel18a_sram_2024,1,"Explicitly marked Intel 3 SRAM density as low-confidence proxy, not direct reported macro data.",
intel_foundry_intel_4_intel_4_hp_h240g50_029,Intel Foundry,Intel 4 family,Intel 4,Intel 4,Intel 4,Intel 4 HP,FinFET,,HP,HP,H240g50,50,240,,,SDB,0,122.8,million transistors per mm²,MTr/mm2,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.024,27.825,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,30,,,,30,,,,,src_semiwiki_intel4_vlsi2022,4,high,,,4,high,4,high,3,medium,0,missing,4,high,Medium-High,src_angstronomics_tsmc_5nm_2022,src_semiwiki_intel4_vlsi2022,src_tomshardware_tsmc_n2_intel18a_sram_2024,src_angstronomics_tsmc_5nm_2022,src_angstronomics_tsmc_5nm_2022;src_semiwiki_intel4_vlsi2022;src_tomshardware_intel_18a_vlsi2025;src_tomshardware_tsmc_n2_intel18a_sram_2024,Conference/media analysis,Media/conference reports,Formula/media analysis,Intel 4 public VLSI analysis gives 30nm minimum metal pitch/M0 class.,Intel 4 使用 EUV；H240g50 公开公式约 122.8 MTr/mm²。,2026-05-21,2026-05-29,27.825,reported/compiled Intel 4 SRAM density; not bitcell ideal,src_tomshardware_tsmc_n2_intel18a_sram_2024,3,Added realistic SRAM density for compact comparison.,
samsung_foundry_14lpe_14lpp_14lpp_generic_logic_036,Samsung Foundry,14nm family,14LPE/14LPP,14LPE/14LPP,14LPE/14LPP,14LPP,FinFET,Samsung official page states SF4 mass production in 2021,HD/HP not specified,HP,generic logic,,,,,,0,,,,No reliable public CPP+CH or reported logic density available.,,,,,,,,32,32,,,,,src_semiwiki_samsung_foundry_2019,3,medium,,,0,missing,0,missing,0,missing,0,missing,1,very_low,Low,src_samsung_official_logic_node,src_samsung_official_logic_node,,,src_samsung_official_logic_node;src_semiwiki_samsung_foundry_2019,Official qualitative / public table missing,,Not computed,SemiWiki table reports M3=32nm; Samsung official notes new MOL/scaled Mx and SF4X BEOL RC optimization.,Samsung 官方公开 14nm FinFET 路线，但未找到可靠公开 CPP/H/SRAM 的可核验单行来源。,2026-05-21,2026-05-21,,,,,,
samsung_foundry_sf2_sf2_hd_xhd_xhd_lower_area_library_enabled_049,Samsung Foundry,2nm family,SF2,SF2,SF2,SF2 HD/xHD,MBCFET / nanosheet GAA,Samsung roadmap: SF2 started mass production/stable volume in 2025; SF2P late 2026,xHD/HD,UHD,xHD lower-area library enabled,,,,,,0,231,,,"231 MTr/mm2 is a media/TechInsights-summary estimate, not official CPP/CH-derived density.",,,,,,,,,,,,,,,0,missing,Official Samsung roadmap: SF2 is second-generation MBCFET/GAA with reduced cell height; public CPP/CH not disclosed.,,0,missing,3,medium,0,missing,0,missing,3,medium,Low,src_samsung_official_logic_node_2026_update,src_semiconductor_b166fee5,src_semiconductor_b166fee5,src_tomshardware_2nm_compare_techinsights_2025;src_samsung_official_logic_node_2026_update,src_semiconductor_b166fee5;src_samsung_official_logic_node_2026_update;src_tomshardware_2nm_compare_techinsights_2025;src_wikipedia_2nm_process_2026,Official qualitative; no CPP/H,Official says SRAM peripheral area improved; no bitcell,Not computed,,Samsung 官方称 SF2 启用 xHD library、相对 HD 降低面积，并与 SF3/SF2 Logic SRAM 兼容；无 H×CPP。,2026-05-21,2026-05-29,,no public comparable SF2 SRAM macro/array density found,,0,Added SF2 release and density-estimate context; no SRAM macro density filled.,
samsung_foundry_sf2p_sf2p_hpc_extension_geometry_not_public_050,Samsung Foundry,2nm family,SF2P,SF2P,SF2P,SF2P,MBCFET / nanosheet GAA,Samsung roadmap: SF2P late 2026,HPC,HPC,HPC extension; geometry not public,,,,,,0,,,,No reliable public CPP+CH or reported logic density available.,,,,,,,,,,,,,,,0,missing,SF2P is listed as a later performance extension of SF2; public geometry/SRAM macro density not disclosed.,,0,missing,0,missing,0,missing,0,missing,1,very_low,Low,src_samsung_official_logic_node_2026_update,src_semiconductor_b166fee5,,,src_semiconductor_b166fee5;src_samsung_official_logic_node_2026_update,Official qualitative only,,Not computed,,SF2P 面向 HPC；没有公开库级几何。,2026-05-21,2026-05-29,,no public comparable SF2P SRAM macro/array density found,,,Added official SF2P timing context.,
samsung_foundry_3gae_3gae_1st_gen_mbcfet_public_relative_only_047,Samsung Foundry,3nm family,3GAE,3GAE,3GAE,3GAE 1st-gen MBCFET,MBCFET / nanosheet GAA,initial production started 2022,GAA gen1,generic/unspecified,public relative only,,,,MBCFET,,0,150,,,No reliable public CPP+CH or reported logic density available.,,4.57,,,,,,,,,,,,,0,missing,"Official: first-generation 3nm GAA vs 5nm targets up to -45% power, +23% performance, -16% area.",,0,missing,1,very_low,2,low,0,missing,2,low,Low-Medium,src_news_c4a2d7c0,src_news_c4a2d7c0,src_tomshardware_df5e2ec3,src_wikipedia_3nm_process_2026;src_samsung_official_3nm_gaa_2022,src_news_c4a2d7c0;src_tomshardware_df5e2ec3;src_samsung_official_3nm_gaa_2022;src_wikipedia_3nm_process_2026,Official relative PPA only,Tom's/ISSCC demo chip macro-level,Official relative PPA only,,Samsung 256Mb/56mm² 3nm MBCFET SRAM demo = macro/demo density，不是 bitcell；官方给 3GAE vs 5nm 面积 -16%。,2026-05-21,2026-05-29,,existing 4.57Mb/mm2 value excluded from compact comparison as non-comparable SRAM test/early metric; no public macro density retained,,0,Added official 2022 production/PPA statement; excluded low comparable SRAM value from compact compare.,
samsung_foundry_sf3_3gap_sf3_2nd_gen_mbcfet_public_geometry_not_disclosed_048,Samsung Foundry,3nm family,SF3 / 3GAP,SF3 / 3GAP,SF3 / 3GAP,SF3 2nd-gen MBCFET,MBCFET / nanosheet GAA,Samsung roadmap lists SF3 / second-generation GAA; public products include Exynos W1000 SF3 coverage by TechInsights,GAA gen2,generic/unspecified,public geometry not disclosed,,,,MBCFET,,0,190,,,No reliable public CPP+CH or reported logic density available.,0.02,,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,,,,,,,,,,,0,missing,Samsung official roadmap describes SF3/SF2 as GAA/MBCFET nodes; exact public CPP/CH/SRAM density not disclosed.,,0,missing,1,very_low,2,low,0,missing,2,low,Low-Medium,src_samsung_official_logic_node_2026_update,src_semiconductor_ab45e548,src_techinsights_b80be684,src_wikipedia_3nm_process_2026,src_news_c4a2d7c0;src_semiconductor_ab45e548;src_techinsights_b80be684;src_kurnal_b1cde8c1;src_samsung_official_logic_node_2026_update;src_wikipedia_3nm_process_2026,Official qualitative only,TechInsights headline / calculator-level estimate,Not computed,,TechInsights 2026 对 Exynos W1000/SF3 SRAM 有专题但细节需订阅；0.020µm²/29Mb/mm² 作为公开线索保留。,2026-05-21,2026-05-29,,no public comparable SF3 SRAM macro density found; prior 29Mb/mm2 estimate removed from compact compare,,0,Updated SF3 release/roadmap context; removed low-confidence SRAM density estimate from comparison.,
samsung_foundry_4lpe_sf4e_4lpe_public_table_6_25t_h200g54_043,Samsung Foundry,4nm family,4LPE / SF4E,4LPE / SF4E,4LPE / SF4E,4LPE public table,FinFET EUV,Samsung official page states SF4 mass production in 2021,HD,HD,6.25T / H200g54,54,200,6.25,,SDB,0,145.7,million transistors per mm²,MTr/mm2,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.0262,,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,,,,32,32,,,,,src_semiwiki_samsung_foundry_2019,3,medium,,,3,medium,3,medium,3,medium,0,missing,3,medium,Medium,src_semiwiki_samsung_foundry_2019,src_semiwiki_samsung_foundry_2019,src_en_205a336a,src_semiwiki_samsung_foundry_2019,src_semiwiki_samsung_foundry_2019;src_en_205a336a,Media/foundry update table,Public media/wiki-level,Media/foundry update table,SemiWiki table reports M3=32nm; Samsung official notes new MOL/scaled Mx and SF4X BEOL RC optimization.,Samsung 官方/公开资料也常称 SF4 cell height 200nm；不同产品可能用不同库。,2026-05-21,2026-05-21,,,,,,
samsung_foundry_sf4_sf4_hdc_media_estimate_hdc_library_bitcell_estimate_044,Samsung Foundry,4nm family,SF4,SF4,SF4,SF4 HDC media estimate,FinFET EUV,Samsung official page states SF4 mass production in 2021,HDC,HD,HDC library / bitcell estimate,54,200,,,SDB,0,,,,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.023,29,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,,,,32,32,,,,,src_semiwiki_samsung_foundry_2019,3,medium,,,2,low,2,low,2,low,0,missing,2,low,Low-Medium,src_semiwiki_samsung_foundry_2019,src_semiwiki_samsung_foundry_2019,src_kurnal_b1cde8c1,src_semiwiki_samsung_foundry_2019,src_semiwiki_samsung_foundry_2019;src_kurnal_b1cde8c1,Derived from 4LPE public table,Calculator/blog-level public estimate,Formula / derived,SemiWiki table reports M3=32nm; Samsung official notes new MOL/scaled Mx and SF4X BEOL RC optimization.,0.023µm²/29Mb/mm² 来自非官方公开计算器/汇编，作为线索保留。,2026-05-21,2026-05-29,,removed v0.4 low-confidence 29Mb/mm2 estimate from compact comparison; no public comparable SF4 SRAM macro density retained,,0,SRAM compare now requires comparable reported macro/array density; removed estimate.,
samsung_foundry_sf4p_sf4p_public_geometry_not_isolated_045,Samsung Foundry,4nm family,SF4P,SF4P,SF4P,SF4P,FinFET EUV,Samsung official page states SF4 mass production in 2021,Performance opt.,generic/unspecified,public geometry not isolated,,,,,,0,,,,No reliable public CPP+CH or reported logic density available.,,,,,,,,32,32,,,,,src_semiwiki_samsung_foundry_2019,3,medium,,,0,missing,0,missing,0,missing,0,missing,1,very_low,Low,src_semiconductor_b166fee5,src_semiconductor_b166fee5,,,src_semiconductor_b166fee5;src_semiwiki_samsung_foundry_2019,Official qualitative only,,Not computed,SemiWiki table reports M3=32nm; Samsung official notes new MOL/scaled Mx and SF4X BEOL RC optimization.,官方资料主要谈成熟化/PPA/IP；未见独立 CPP/H/SRAM。,2026-05-21,2026-05-21,,,,,,
