record_id,formula_version,cpp_cgp_nm,cell_height_nm,break_extra_cpp,sram_bitcell_um2,logic_density_calculated_mtr_mm2,sram_ideal_mb_mm2,calculation_inputs,assumption_note,is_estimated,review_required,review_reason,created_at,updated_at
samsung_foundry_sf3_3gap_sf3_2nd_gen_mbcfet_public_geometry_not_disclosed_048,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,,,0,0.02,,50,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.02}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,False,True,missing_cpp_ch_and_reported_density,2026-05-21,2026-05-21
samsung_foundry_sf2_sf2_hd_xhd_xhd_lower_area_library_enabled_049,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists.,False,True,missing_cpp_ch_and_reported_density,2026-05-21,2026-05-21
samsung_foundry_sf2p_sf2p_hpc_extension_geometry_not_public_050,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists.,False,True,missing_cpp_ch_and_reported_density,2026-05-21,2026-05-21
globalfoundries_14lpp_14lpp_std_cell_9t_051,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,78,576,1,0.09,27.5997,11.1111,"{""cpp_cgp_nm"": 78.0, ""cell_height_nm"": 576.0, ""break_extra_cpp"": 1.0, ""sram_bitcell_um2"": 0.09}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,True,False,,2026-05-21,2026-05-21
globalfoundries_14lpp_14lpp_std_cell_10_5t_052,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,78,672,1,0.09,23.6569,11.1111,"{""cpp_cgp_nm"": 78.0, ""cell_height_nm"": 672.0, ""break_extra_cpp"": 1.0, ""sram_bitcell_um2"": 0.09}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,True,True,low_geometry_confidence_used_for_calc,2026-05-21,2026-05-21
globalfoundries_12lp_12lp_std_cell_7_5t_053,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,84,480,1,,30.754,,"{""cpp_cgp_nm"": 84.0, ""cell_height_nm"": 480.0, ""break_extra_cpp"": 1.0, ""sram_bitcell_um2"": null}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP.,True,False,,2026-05-21,2026-05-21
globalfoundries_12lp_12lp_autopro150_logic_cpp_84_ch_not_public_054,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,84,,0,,,,"{""cpp_cgp_nm"": 84.0, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists.,False,True,missing_cpp_ch_and_reported_density,2026-05-21,2026-05-21
globalfoundries_22fdx_22fdx_sc8t_104cpp_gf22fdx_sc8t_104cpp_base_055,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,104,640,1,0.11,18.6298,9.0909,"{""cpp_cgp_nm"": 104.0, ""cell_height_nm"": 640.0, ""break_extra_cpp"": 1.0, ""sram_bitcell_um2"": 0.11}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,False,False,,2026-05-21,2026-05-21
globalfoundries_22fdx_22fdx_12t_104cpp_12t_high_speed_library_056,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,104,960,1,0.124,12.4199,8.0645,"{""cpp_cgp_nm"": 104.0, ""cell_height_nm"": 960.0, ""break_extra_cpp"": 1.0, ""sram_bitcell_um2"": 0.124}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,True,False,,2026-05-21,2026-05-21
globalfoundries_22fdx_22fdx_ulp_ref_flow_7_5t_116cpp_physical_setup_057,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,116,600,1,0.11,17.8161,9.0909,"{""cpp_cgp_nm"": 116.0, ""cell_height_nm"": 600.0, ""break_extra_cpp"": 1.0, ""sram_bitcell_um2"": 0.11}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,True,False,,2026-05-21,2026-05-21
globalfoundries_22fdx_racyics_rilib_gf22fdx_8t_116cpp_8t_cnrx_058,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,116,640,1,0.11,16.7026,9.0909,"{""cpp_cgp_nm"": 116.0, ""cell_height_nm"": 640.0, ""break_extra_cpp"": 1.0, ""sram_bitcell_um2"": 0.11}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,True,False,,2026-05-21,2026-05-21
globalfoundries_22fdx_racyics_rilib_gf22fdx_9t_116cpp_9t_cnrx_automotive_059,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,116,720,1,0.11,14.8467,9.0909,"{""cpp_cgp_nm"": 116.0, ""cell_height_nm"": 720.0, ""break_extra_cpp"": 1.0, ""sram_bitcell_um2"": 0.11}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,True,False,,2026-05-21,2026-05-21
umc_28nm_28hpm_hlp_hpc_faraday_7_track_minilib_060,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists.,False,True,missing_cpp_ch_and_reported_density,2026-05-21,2026-05-21
umc_28nm_28hpm_hlp_hpc_faraday_d_r_9_track_generic_061,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists.,False,True,missing_cpp_ch_and_reported_density,2026-05-21,2026-05-21
umc_28nm_28hpm_hlp_hpc_faraday_12_track_uhs_lib_062,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists.,False,True,missing_cpp_ch_and_reported_density,2026-05-21,2026-05-21
umc_22nm_22ulp_22ull_synopsys_faraday_foundation_ip_063,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists.,False,True,missing_cpp_ch_and_reported_density,2026-05-21,2026-05-21
umc_14nm_14nm_finfet_generic_foundation_ip_064,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists.,False,True,missing_cpp_ch_and_reported_density,2026-05-21,2026-05-21
smic_14nm_14nm_generic_logic_065,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists.,False,True,missing_cpp_ch_and_reported_density,2026-05-21,2026-05-21
smic_n_1_n_1_early_7nm_class_hd_066,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists.,False,True,low_logic_density_confidence,2026-05-21,2026-05-21
smic_n_2_n_2_7nm_class_secondary_table_g63h250_secondary_table_forum_g63h252_conflict_note_067,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,63,250,0,0.0315,93.5673,31.746,"{""cpp_cgp_nm"": 63.0, ""cell_height_nm"": 250.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.0315}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,True,True,low_geometry_confidence_used_for_calc; low_logic_density_confidence,2026-05-21,2026-05-21
smic_n_3_n_3_kirin_9030_g57h228_6t_forum_lead_068,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,57,228,0,0.026,113.3952,38.4615,"{""cpp_cgp_nm"": 57.0, ""cell_height_nm"": 228.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.026}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,True,True,low_geometry_confidence_used_for_calc; low_logic_density_confidence,2026-05-21,2026-05-21
smic_n_3_n_3_kirin_9030_secondary_table_n_3_069,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,57,,0,0.026,,38.4615,"{""cpp_cgp_nm"": 57.0, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.026}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,False,True,low_logic_density_confidence,2026-05-21,2026-05-21
umc_28nm_28hlp_hpc_hpm_d_r_ip_listing_7_track_9_track_12_track_product_entries_cpp_ch_not_070,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists.,False,True,missing_cpp_ch_and_reported_density,2026-05-21,2026-05-21
smic_n_2_n_2_7nm_class_techinsights_confirmed_geometry_not_in_free_ti_page_measurement_cat_071,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists.,False,True,missing_cpp_ch_and_reported_density,2026-05-21,2026-05-21
